
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-12-19 14:59:08 / ........................................................................................ ~ 1s
  2025-12-19 15:00:14 / ........................................................................................ ~ 1s
  2025-12-19 15:00:14 /dist/tokens/tokens.css .................................................................. ~ 1s
  2025-12-19 15:00:16 /build/assets/app-CYCc52RY.css ....................................................... ~ 1.28ms
  2025-12-19 15:00:16 /build/assets/app-CJy8ASEk.js ........................................................ ~ 8.55ms
  2025-12-19 15:00:18 /favicon.ico ......................................................................... ~ 9.36ms
  2025-12-19 15:00:31 /dashboard ............................................................................... ~ 1s
  2025-12-19 15:00:32 /dist/tokens/tokens.css ............................................................ ~ 509.45ms
  2025-12-19 15:00:33 /build/assets/app-CYCc52RY.css ....................................................... ~ 0.78ms
  2025-12-19 15:00:33 /build/assets/app-CJy8ASEk.js ........................................................ ~ 8.24ms
  2025-12-19 15:00:34 /favicon.ico ......................................................................... ~ 0.74ms
  2025-12-19 15:00:43 /thefts .................................................................................. ~ 1s
  2025-12-19 15:00:44 /dist/tokens/tokens.css ............................................................ ~ 510.15ms
  2025-12-19 15:00:45 / ........................................................................................ ~ 1s
  2025-12-19 15:00:45 /build/assets/app-CYCc52RY.css ........................................................... ~ 1s
  2025-12-19 15:00:45 /build/assets/app-CJy8ASEk.js ............................................................ ~ 1s
  2025-12-19 15:00:46 /dist/tokens/tokens.css ............................................................ ~ 503.65ms
  2025-12-19 15:00:47 /build/assets/app-CYCc52RY.css ....................................................... ~ 0.82ms
  2025-12-19 15:00:47 /build/assets/app-CJy8ASEk.js ........................................................ ~ 7.59ms
  2025-12-19 15:00:47 /favicon.ico ......................................................................... ~ 2.41ms
  2025-12-19 15:00:50 /thefts/create ........................................................................... ~ 1s
  2025-12-19 15:00:52 /dist/tokens/tokens.css .................................................................. ~ 1s
  2025-12-19 15:00:52 /build/assets/app-CYCc52RY.css ....................................................... ~ 0.95ms
  2025-12-19 15:00:52 /build/assets/app-CJy8ASEk.js ........................................................ ~ 8.56ms
